Column,Description,Sample
AADT_2020_HPMS,"Annual Average Daily Traffic from the FHWA HPMS Georgia 2020 submission (geo.dot.gov Hosted/HPMS_FULL_GA_2020 layer 0). Tuple-deduped on (route_id, begin_point, end_point) to collapse section-type row duplication in the raw submission. Coverage is full enumeration for NHS + FC 1-5 on state and non-state segments; FC 6-9 coverage is ~98% because FHWA's 2020 Georgia submission reported row-level AADT on local roads. Interstate (FC 1) coverage is ~74% due to a pre-existing segmentation-granularity mismatch between the staged segments and HPMS milepoint reporting — same floor appears in 2022/2023/2024. Values reflect COVID-suppressed urban counts as submitted; no counterfactual reconstruction attempted. See 02-Data-Staging/reports/aadt_hpms_historic_coverage.md.",8509
AADT_2022_HPMS,"Annual Average Daily Traffic from the FHWA HPMS Georgia 2022 submission (geo.dot.gov Hosted/HPMS_FULL_GA_2022 layer 0). Coverage is ~75-100% on FC 1-5; FC 6-9 is NULL by FHWA submission design — the 2022 Georgia submission used volumegroup sampling for minor collectors and local roads, reporting a coded volume band instead of a row-level AADT. Consumers must not treat FC 6-9 NULLs as missing data to fill. See 02-Data-Staging/reports/aadt_hpms_historic_coverage.md.",20700
AADT_2023_HPMS,"Annual Average Daily Traffic from the FHWA HPMS Georgia 2023 submission (geo.dot.gov Hosted/HPMS_FULL_GA3_2023 layer 0 — note the service-name anomaly). Coverage is ~75-100% on FC 1-5; FC 6-9 is NULL by FHWA submission design (volumegroup sampling, same as 2022). Consumers must not treat FC 6-9 NULLs as missing data to fill. See 02-Data-Staging/reports/aadt_hpms_historic_coverage.md.",9431
AADT_2024_HPMS,"Raw 2024 AADT value from the GDOT HPMS federal submission, captured for every HPMS-matched segment regardless of which source wins the canonical AADT. Enables cross-validation against the state 2024 GDB.",5500
AADT_2024_SOURCE_AGREEMENT,"Cross-source agreement category between the state 2024 GDB and the HPMS federal submission: state_only, hpms_only, both_agree (within ±15% or ±200 veh/day), both_disagree, or null when neither source has a value.",both_agree
AADT_2024_STATS_TYPE,"GDOT Statistics_Type indicator on the matched 2024 traffic record: Actual (measured this year), Estimated (factored from older counts), or Calculated (derived).",Actual
AADT_2024_SAMPLE_STATUS,"Free-text GDOT SampleStatus indicating the timing or nature of the most recent sample-adequacy pass.",Sample new or significantly changed in 2024 overhaul
AADT_YEAR,Traffic year associated with the canonical AADT value.,2024.0
TRUCK_AADT,"Estimated total truck annual average daily traffic, typically single-unit plus combination trucks.",
TRUCK_PCT,Truck share of total AADT expressed as a proportion of total traffic.,
PCT_SADT,Single-unit truck percentage of AADT (SINGLE_UNIT_AADT_2024 / AADT x 100). Texas RAPTOR alignment column.,4.2
PCT_CADT,Combination-unit truck percentage of AADT (COMBO_UNIT_AADT_2024 / AADT x 100). Texas RAPTOR alignment column.,8.1
HWY_DES,"Highway design class derived from NUM_LANES + divided/undivided determination. Divided (D) when MEDIAN_TYPE != 1, Interstate, or HPMS access-control 1-3 with 4+ lanes. Texas RAPTOR alignment column.",4D
TRK_DHV_PCT,"Truck design-hour volume percent. Primary source: HPMS pct_dh_single + pct_dh_combination. Secondary: TRUCK_PCT approximation when HPMS DHV is unavailable for the segment. Texas RAPTOR alignment column.",12.3
FUTURE_AADT_2044,Projected 2044 annual average daily traffic for the segment after official matches and gap-filling.,6930.0
FUTURE_AADT_2044_OFFICIAL,Official GDOT-matched 2044 future AADT before any modeled fill methods are applied.,
FUTURE_AADT_2044_SOURCE,"Source used to populate FUTURE_AADT_2044: official_exact, hpms_2024, direction_mirror, projection_official_implied, or missing.",projection_official_implied
FUTURE_AADT_2044_CONFIDENCE,Confidence level assigned to the final FUTURE_AADT_2044 value.,low
FUTURE_AADT_2044_FILL_METHOD,"Method used to populate FUTURE_AADT_2044 when a direct official match was not available: hpms_route_id_milepoint_match, inc_to_dec_direction_mirror, official_implied_county_system, official_implied_district_system, official_implied_system_statewide, or official_implied_statewide.",official_implied_statewide
future_aadt_covered,Boolean flag showing whether the segment has any populated future AADT value after processing.,1
VMT,"Vehicle miles traveled from the matched 2024 traffic record, retained under the legacy field name VMT.",
TruckVMT,"Truck vehicle miles traveled from the matched 2024 traffic record, retained under the legacy field name TruckVMT.",
current_aadt_official_covered,Boolean flag showing whether the segment received a direct official 2024 AADT match before gap-fill.,0
current_aadt_covered,Boolean flag showing whether the segment has a final populated 2024 AADT after all fill steps.,1
SINGLE_UNIT_AADT_2024,2024 annual average daily traffic for single-unit trucks.,
COMBO_UNIT_AADT_2024,2024 annual average daily traffic for combination-unit trucks.,
K_FACTOR,Proportion of daily traffic occurring during the design hour used for traffic analysis.,
D_FACTOR,Directional distribution factor representing the share of design-hour traffic in the peak direction.,
TC_NUMBER,Traffic count station or traffic-count reference number from GDOT traffic data.,
TRAFFIC_CLASS_2024,Traffic classification code from the 2024 GDOT traffic file.,
segment_length_m,Computed segment length in meters using the staged geometry.,43582.45588089433
segment_length_mi,Computed segment length in miles using the staged geometry.,27.08088257134232
SPEED_LIMIT,"Posted speed limit assigned to the segment, in miles per hour.",65.0
IS_SCHOOL_ZONE,Boolean flag indicating the matched speed zone record is a school zone.,0
SPEED_LIMIT_SOURCE,Source used to populate the segment speed limit.,gdot_speed_zone_on_system
SIGNED_INTERSTATE_FLAG,Boolean flag indicating the roadway is signed as an Interstate route.,0
SIGNED_US_ROUTE_FLAG,Boolean flag indicating the roadway is signed as a U.S. route.,1
SIGNED_STATE_ROUTE_FLAG,Boolean flag indicating the roadway is signed as a State Route.,0
SIGNED_ROUTE_FAMILY_PRIMARY,Highest-priority signed route family assigned to the segment after GDOT and HPMS verification.,U.S. Route
SECONDARY_SIGNED_ROUTE_FAMILY,Second signed route family carried on the segment when multiple signed designations overlap.,
TERTIARY_SIGNED_ROUTE_FAMILY,Third signed route family carried on the segment when multiple signed designations overlap.,
SIGNED_ROUTE_FAMILY_ALL,JSON array of all signed route families associated with the segment.,"[""U.S. Route""]"
SIGNED_ROUTE_VERIFY_SOURCE,Primary source used to verify the signed route family classification.,gdot_us_highway
SIGNED_ROUTE_VERIFY_METHOD,Matching method used to verify the signed route classification.,derived_rclink_interval
SIGNED_ROUTE_VERIFY_CONFIDENCE,Confidence level assigned to the signed route verification result.,high
SIGNED_ROUTE_VERIFY_SCORE,Numeric score representing signed route verification confidence.,0.95
SIGNED_ROUTE_VERIFY_NOTES,Notes describing the signed-route match or evidence used in verification.,official_us_highway_match; label=028000
HPMS_IRI,HPMS International Roughness Index value for pavement ride quality on the segment.,
HPMS_PSR,HPMS Present Serviceability Rating value describing pavement service condition.,
HPMS_RUTTING,HPMS rutting measure for wheel-path deformation on the segment.,
HPMS_CRACKING_PCT,HPMS percentage of roadway surface area with cracking distress.,
HPMS_ACCESS_CONTROL,HPMS access-control code describing the degree of driveway and intersection access control.,
HPMS_TERRAIN_TYPE,"HPMS terrain code describing whether the segment is in level, rolling, or mountainous terrain.",
HPMS_ROUTE_SIGNING,"HPMS route-signing code used to help distinguish Interstate, U.S., State, county, or city signing.",4.0
HPMS_ROUTE_NUMBER,Signed route number reported by HPMS for the matched segment.,29.0
HPMS_ROUTE_NAME,Signed route name reported by HPMS for the matched segment.,
ROUTE_TYPE_GDOT,"Granular GDOT-style route subtype code derived for display and analysis, such as SR, US, BI, SP, or RP.",SR
HWY_NAME,Standardized highway name or signed route label generated from the derived GDOT route type and number.,SR-29
COUNTY_NAME,Human-readable county name for COUNTY_CODE.,Montgomery
county_all,"Comma-separated list of counties intersected by the segment, ordered by overlap and anchored to the primary county.","Montgomery, Toombs, Treutlen"
DISTRICT_NAME,Short GDOT district office name for DISTRICT.,Jesup
SYSTEM_CODE_LABEL,Human-readable label for the GDOT roadway system code.,State Highway Route
FUNCTION_TYPE_LABEL,Human-readable label for the GDOT route function code.,Main Line
FUNCTIONAL_CLASS_LABEL,Human-readable label for the FHWA functional classification.,Minor Arterial
FACILITY_TYPE_LABEL,Human-readable label for the facility type code.,Two-Way (non-restricted)
NHS_IND_LABEL,Human-readable label for the National Highway System indicator.,
OWNERSHIP_LABEL,Human-readable label for the roadway ownership code.,State DOT
STRAHNET_LABEL,Human-readable label for the STRAHNET code.,
MEDIAN_TYPE_LABEL,Human-readable label for the median type code.,
SHOULDER_TYPE_LABEL,Human-readable label for the shoulder type code.,
SURFACE_TYPE_LABEL,Human-readable label for the pavement surface type code.,
URBAN_CODE_LABEL,Human-readable label for the urban area code.,
DIRECTION_LABEL,Human-readable label for the route calibration direction.,Increasing
ROUTE_TYPE_GDOT_LABEL,Human-readable label for the derived GDOT route subtype.,State Route Mainline
SEC_EVAC,Boolean flag indicating the segment overlaps a GDOT-designated hurricane evacuation route.,True
SEC_EVAC_CONTRAFLOW,Boolean flag indicating the segment overlaps a GDOT hurricane evacuation contraflow route.,False
SEC_EVAC_ROUTE_NAME,"Evacuation route name(s) matched to the segment from the GDOT EOC layer, semicolon-separated when multiple.",SR 17; SR 25
SEC_EVAC_SOURCE,Source attribution for the evacuation flag.,gdot_eoc_hurricane_evacuation
AADT_2020_HPMS_SYNTHETIC,"Binary flag (0/1/NULL) indicating whether the 2020 HPMS AADT value is an FHWA volumegroup-default fill on FC 6-7. Flag=1 when the integer value repeats >=500 times within (FC, year) and FC is 6 or 7. NULL when HPMS is NULL; 0 on FC 1-5 by construction.",1
AADT_2022_HPMS_SYNTHETIC,"Binary flag (0/1/NULL) indicating whether the 2022 HPMS AADT value is an FHWA synthetic default. Effectively 0 for all non-null 2022 rows because FHWA leaves FC 6-7 NULL in the 2022 submission.",0
AADT_2023_HPMS_SYNTHETIC,"Binary flag (0/1/NULL) for 2023 HPMS synthetic default classification, same logic as 2022.",0
AADT_2024_HPMS_SYNTHETIC,"Binary flag (0/1/NULL) indicating whether the 2024 HPMS AADT value is an FHWA volumegroup-default fill on FC 6-7.",1
AADT_2022_HPMS_HARD_OUTLIER,"Binary flag (0/1/NULL) for 2022 HPMS values that repeat >100 times within an FC bin, flagging implausible clusters like the 657-row AADT=67 artifact.",1
AADT_2023_HPMS_HARD_OUTLIER,"Binary flag (0/1/NULL) for 2023 HPMS hard-outlier values, same logic as 2022.",0
AADT_2021_MODELED,"Predicted 2021 AADT via inverse-distance-weighted interpolation of the 5 nearest 2021 GDOT traffic stations. NULL when no station is within 2000m of the segment centroid.",5647
AADT_2021_P10,"Lower bound (P10) for the 2021 AADT prediction, taken as the minimum AADT among the k nearest stations used in the IDW.",3200
AADT_2021_P90,"Upper bound (P90) for the 2021 AADT prediction, taken as the maximum AADT among the k nearest stations used in the IDW.",8100
AADT_2021_CONFIDENCE,"Confidence tier for the 2021 prediction: high = nearest station within 500m and on the same route; medium = nearest station within 2000m; none = beyond 2000m cutoff (prediction is NULL).",medium
AADT_2021_SOURCE,Method used to produce AADT_2021_MODELED.,station_idw_v2
AADT_2021_NEAREST_STATION_DIST_M,Distance in meters from the segment centroid to the nearest 2021 traffic station.,342.5
AADT_2021_NEAREST_STATION_TC,TC_NUMBER of the nearest 2021 traffic station used in the prediction.,067-7126
AADT_2021_N_STATIONS_USED,Number of stations within the 2000m cutoff that contributed to the IDW prediction.,5
AADT_2022_LOCAL_FILL,"IDW-interpolated 2022 AADT for FC 6-7 segments where HPMS is NULL (FHWA volumegroup sampling left these unpopulated). NULL on FC 1-5 and on FC 6-7 segments beyond the 2000m station cutoff.",1850
AADT_2022_LOCAL_FILL_CONFIDENCE,"Confidence tier for the 2022 local fill, same logic as AADT_2021_CONFIDENCE.",medium
AADT_2023_LOCAL_FILL,"IDW-interpolated 2023 AADT for FC 6-7 segments where HPMS is NULL, same method as 2022.",1920
AADT_2023_LOCAL_FILL_CONFIDENCE,"Confidence tier for the 2023 local fill, same logic as AADT_2021_CONFIDENCE.",medium
